Product URL,GSC Priority Keyword,Impressions,Avg Position,Clicks,Meta Title,Meta Description,H1,Recommended Action,Data Status
https://ledsone.co.uk/products/e27-g95-40w-dimmable-antique-globe-industrial-retro-bulb,g95 globe,171,22.0,0,G95 Bulb E27 40W Dimmable Vintage Globe Light 95mm UK,G95 E27 bulb with 95mm globe size...,Edison Style E27 G95 Bulb 4W Dimmable Screw Vintage Globe Decorative Bulb~1531,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/dc12v-60w-ip20-mini-universal-regulated-switching-led-transformer,No GSC data,0,N/A,0,12V 60W LED Transformer Switching Power Supply 5A,12V 60W LED transformer with 5A output...,12V 60W LED Transformer 5A Switching Power Supply AC to DC~3332,Data validation required,No matched GSC data
https://ledsone.co.uk/products/industrial-vintage-style-wall-or-ceiling-light-b22-bar-conduits-light,b22 ceiling light,65,14.7,0,Ceiling Light Bar,Transform your space with a ceiling light bar.,Vintage Style B22 Single Conduit Ceiling Light Industrial Retro Lighting Fitting~1555,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-light-bulb-guard-cage-cluster-pendant-lights,cage pendant light edison bulb uk buy,593,7.4,0,Cage Pendant light fixture | 3 cluster pendant Lights Uk,Discover our cage pendant light fixture...,Stylish Light Bulb Cages Cluster Ceiling Lights ~ 5168,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/conduit-pipe-table-lamp-with-dimmer-switch-industrial-steampunk-light-5651,lamp with dimmer,224,14.0,0,Industrial Steampunk Dimmable Lamp,Vintage Conduit Pipe Table Lamp with dimmer switch...,Conduit Pipe Table Lamp Kit with Dimmer Switch Steampunk Light -5651,Check intent mismatch before optimizing,GSC data available
https://ledsone.co.uk/products/28w-compact-led-driver-ac-230v-to-dc12v-power-supply-transformer,compact led driver,26,19.0,0,240V to12V Transformer,View our extensive selection of transformers...,28W Compact LED Driver AC 240V to DC12V Power Supply Transformer~3279,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-light-ceiling-pendant-light-with-pulley-system,adjustable pendant light pulley,3,2.7,1,Missing,Missing,Ceiling Light Pulley System 3 Light Industrial Pendant Chandelier ~5952,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/light-fixing-strap-brace-ceiling-rose-155mm-bracket-plate-with-accessories,mounting brackets for light fixtures,1,1.0,0,Light Fixing brace ceiling rose 155mm bracket Plate with accessories,Free UK Shipping On Order Over 20...,155mm Ceiling Rose Strap Side fitting Bracket~2399,Do not optimize,GSC data available
https://ledsone.co.uk/products/ceramic-porcelain-type-6-es-e27-edison-screw-heat-bulb-variation-lam…,No GSC data,0,N/A,0,Missing,Missing,Missing,Data validation required,URL not resolved — truncated handle does not match any database record
https://ledsone.co.uk/products/2pcs-bath-pedestal-rug-set-soft-non-slip-water-absorbent-mat-sets-5393,blue pedestal mat,68,6.6,0,2PCS U shape Bath and pedestal mats,Discover the perfect modern rubber door mat...,2PCS Bath Pedestal Rug Set Soft Non-Slip Water Absorbent Mat Sets~5393,Do not optimize,GSC data available
https://ledsone.co.uk/products/cone-wall-light,cone wall light,42,32.4,0,Swan Neck Wall Light Indoor | Ledsone.co.uk,Buy Swan neck wall lights...,Black Cone Wall Light~2673,Do not optimize,GSC data available
https://ledsone.co.uk/products/copper-lamp-shade-cap-for-pendant-light-socket-holder-fitting,lampshade cap,13,3.7,0,Decorative Lamp Shade Cap for Pendant Lights Copper,Check out our amazing range...,Copper Lampshade Fitter Cap | Premium Pendant Finish ~1035,Do not optimize,GSC data available
https://ledsone.co.uk/products/dc12v-15w-led-driver-power-supply-transformer,led driver and power supply,29,24.1,0,AC DC Adapter 12V,Power up your devices...,12V LED Driver Power Supply 15W Reliable Transformer for LED Strips ~3265,Do not optimize,GSC data available
https://ledsone.co.uk/products/warm-white-12v-led-waterproof-modules-ip67-outdoor-5677,warm white led modules,11,9.4,0,Water Resistant Led Module Warm White,Explore our collection...,Industrial 12V IP67 Waterproof Warm White Injection LED Modules ~ 5677,Do not optimize,GSC data available
https://ledsone.co.uk/products/5-x-vintage-pendant-cord-grip-strain-relief-metal-cable-lock-10mm-nut-6048,cord grip,51,23.7,0,Missing,Missing,5 Pack Pendant M10 Cord Grip Strain Relief Metal Lock nut - 6048,Do not optimize,GSC data available
https://ledsone.co.uk/products/pipe-lighting-accessories-iron-5way-cross,5 way pipe connector,18,3.4,0,5 Way Pipe Fitting Malleable Iron Black Outlet Cross,Specification: Materials: Cast iron...,Industrial Malleable Iron 5 Way Pipe Fitting Cross 3/4 Inch~1836,Do not optimize,GSC data available
https://ledsone.co.uk/products/industrial-vintage-various-colours-ceiling-light-fitting-e27-pendant-holder,burgundy light fitting,10,7.9,0,E27 Pendant Holder Ceiling Light Fitting Vintage Industrial Burgundy,E27 Pendant Holder Ceiling Light Fitting Vintage Industrial Burgundy,Industrial Vintage Various colours Ceiling Light Fitting E27 Pendant Light ~4050,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-core-army-green-round-vintage-italian-braided-fabric-cable-flex-0-75mm-uk,muéstrame imagenes,1,16.0,0,3 Core Round Braided Army Green Fabric Lighting Cable 1M/5M/10M,Upgrade indoor lighting...,3 Core Round Braided Army Green Fabric Lighting Cable 1M/5M/10M~3184,Do not optimize,GSC data available
https://ledsone.co.uk/products/dc24v-ip67-30w-waterproof-led-driver-power-supply-transformer,30w led driver,13,18.3,0,DC24V IP67 30W Waterproof LED Driver Power Supply Transformer,constant current led driver...,IP67 DC24V 30W LED Driver Power Supply Transformer~3349,Do not optimize,GSC data available
https://ledsone.co.uk/products/screw-e27-white-plain-holder-bakelite-lamp-holder,e27 lamp holder white,6,5.7,0,E27 White Plain Bakelite Lamp Holder,Discover the perfect socket for vintage lamps...,E27 White Bakelite Lamp Holder | Vintage Style Socket~2982,Do not optimize,GSC data available
https://ledsone.co.uk/products/vintage-e27-edison-screw-3w-filament-bulb-warm-white-2000k-amber-glass-5073,2000k light bulb,9,1.9,0,Warm White Light Bulbs,Warm white lightbulbs can completely change your house!,D64-200 Lumens E27 Vintage Bulb- Incandescent~5073,Do not optimize,GSC data available
https://ledsone.co.uk/products/3-outlet-500mm-black-metal-ceiling-rose-square,ceiling rose blanking plate,45,29.1,0,3 Outlet 500mm Black Metal Ceiling Rose Square,Missing,Black Square Ceiling Rose 3 Outlet Light Plate ~1169,Do not optimize,GSC data available
https://ledsone.co.uk/products/red-wicker-rattan-lampshade-ceiling-pendant-light,No GSC data,0,N/A,0,Red Wicker Rattan Lampshade Ceiling Pendant Light,Missing,Red Wicker Rattan Lampshade Ceiling Pendant Light~1811,Data validation required,No matched GSC data
https://ledsone.co.uk/products/black-finished-industrial-adjustable-pendant-light-fixture,adjustable pendant light,24,29.5,0,Morandi Pendant Light Adjustable for Kitchen Island,The ideal Morandi pendant light...,Morandi Pendant Light Adjustable for Kitchen Island ~5520,Do not optimize,GSC data available
https://ledsone.co.uk/products/plug-in-wall-light-kit-dimmer-uk-plug-flex-wire,wall light kit,7,7.9,1,Missing,Missing,Plug-in Wall Light Kit | Dimmer UK Plug Flex Wire ~ 5763,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/orange-painted-metal-shade-lighting-vintage-pendant-light,orange pendant light,30,21.5,0,Orange Painted Metal Shade Lighting Vintage Pendant Light,Missing,Orange Painted Metal Shade Lighting Vintage Pendant Light~1507,Do not optimize,GSC data available
https://ledsone.co.uk/products/vintage-edison-led-filament-bulb-g80-b22-4w-dimmable,vintage bulbs bayonet,16,6.0,1,Dimmable Bayonet Bulb,Brighten up your home with dimmable bayonet bulbs.,Vintage Edison LED Filament Bulb G80 B22 4W Dimmable ~3078,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/fabric-hemp-flex-cable-kit-black-plug-in-pendant-lamp-light-e27-fitting-vintage-lamp,pendant light cable kit,1,23.0,0,Fabric Hemp Flex Cable kit Black Plug In Pendant Light E27 Fitting,Free Uk Shipping on order over 20...,Fabric Hemp Flex Cable kit Black Plug In Pendant Lamp Light E27~3692,Do not optimize,GSC data available
https://ledsone.co.uk/products/industrial-style-ceiling-light-three-b22-bar-conduits-light,b22 ceiling light,20,21.5,0,Industrial Style Ceiling Light,Illuminate your space...,Industrial Style Ceiling Light Three B22 Bar Conduits Light ~1557,Do not optimize,GSC data available
https://ledsone.co.uk/products/black-bakelite-lamp-holder-industrial-socket-light-bulb-holder-5735,black bulb holder,22,11.5,0,Missing,Missing,E27 Black Bakelite Lamp Holder Industrial Socket Light Bulb Holder ~5735,Do not optimize,GSC data available
https://ledsone.co.uk/products/1m-white-pendant-light-holder,ceiling pendant light parts,1,2.0,1,1m White Pendant Light Holder,Bulb socket | lamp socket | bracket bulb...,1m White Pendant Light Holder~1695,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/hemp-rope-metal-pendant-light-spider-light-hanging-light,rope spider light,69,3.4,0,Hemp Rope Pendant Light with Green Lampshade | Spider Light | Ledsone UK,Buy Industrial Ceiling Pendant Light...,Hemp Rope Metal Hooked Pendant Light ~5045,Do not optimize,GSC data available
https://ledsone.co.uk/products/fisherman-caged-conduit-pipe-light-shade-3-4-entry-wall-lantern-with…,No GSC data,0,N/A,0,Missing,Missing,Missing,Data validation required,URL not resolved — no matching handle in database
https://ledsone.co.uk/products/retro-vintage-1cm-hole-barrel-cage-design-rattan-style-lamp-light-shades-4219,lamp shade with small hole,1,15.0,0,Missing,Missing,1cm Hole Barrel Cage Design E27 Rattan Style Lamp Light Shade~4219,Do not optimize,GSC data available
https://ledsone.co.uk/products/105mm-bracket-strap-brace-plate-with-accessories-ceiling-rose-light-fixing,product,1,1.0,0,105mm bracket strap brace Plate with accessories ceiling rose Light.,Free UK Shipping On Order Over 20...,105mm Ceiling Rose Strap Side fitting Bracket~2392,Do not optimize,GSC data available
https://ledsone.co.uk/products/linear-cage-pendant-light-fixture,rectangular cage chandelier,18,16.7,0,Missing,Missing,Linear Cage Pendant Light Fixture~3775,Do not optimize,GSC data available
https://ledsone.co.uk/products/b22-t185-60w-dimmable-vintage-light-filament-bulb,No GSC data,0,N/A,0,E27 T130 60W Dimmable Vintage Light Filament Bulb,B22 T185 60W Vintage Retro Industrial Filament Bulb Base: B22...,E27 T130 60W Dimmable Vintage Light Filament Bulb~3070,Data validation required,No matched GSC data
https://ledsone.co.uk/products/design-women-toe-post-flip-flop-beach-slipper-for-sea,beach slipper,1513,2.8,1,Rubber seaside womens toe post Flip Flop beach Slipper,Explore our website for the trendiest rubber seaside...,Design Rubber Women Toe Post Flip Flop Beach Slipper for Sea ~5212,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights,replacement wall light shades,142,16.2,2,ribbed glass wall light uk | glass wall lights,View our collection of gorgeous stunning ribbed glass wall lights...,Industrial Ribbed Glass Wall Light Fits Standard UK Wall Lights (E27) ~1774,Rewrite meta tags + re-optimize keywords,GSC data available
https://ledsone.co.uk/products/3-way-modern-black-ceiling-pendant-cluster-light-fitting-industrial-pendant-lampshade,3 drop light fitting,8,8.3,1,3 Way Modern Black Ceiling Pendant Cluster Light Fitting Industrial Pendant Lampshade,Vintage Retro Modern Black Ceiling Pendant Lights...,Flat Modern Black 3 Light Pendant Ceiling Light ~2137,Rewrite meta tags + re-optimize keywords,GSC data available
