Product URL,Product Title,Weekly Sales,Monthly Sales,Monthly Clicks,Monthly Impressions,Monthly CTR (%),Avg Position,Optimization Status,Recommended Action
"https://ledsone.co.uk/products/fabric-hemp-flex-cable-kit-black-plug-in-pendant-lamp-light-e27-fitting-vintage-lamp","Fabric Hemp Flex Cable Kit Black Plug-In Pendant Lamp Light E27 Fitting","0","0","0","5","0.0","4.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/industrial-style-ceiling-light-three-b22-bar-conduits-light","Industrial Style Ceiling Light Three B22 Bar Conduits Light","0","0","0","39","0.0","12.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/black-bakelite-lamp-holder-industrial-socket-light-bulb-holder-5735","E27 Black Bakelite Lamp Holder Industrial Socket Light Bulb Holder","0","5","3","366","0.82","7.0","Do Not Optimize","Continue monitoring"
"https://ledsone.co.uk/products/1m-white-pendant-light-holder","1m White Pendant Light Holder","0","0","1","704","0.14","15.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/hemp-rope-metal-pendant-light-spider-light-hanging-light","Hemp Rope Metal Pendant Light Spider Light Hanging Light","0","0","0","75","0.0","5","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/conduit-light-shade-5570","Fisherman Caged Conduit Pipe Light Shade Wall Lantern with Glass","0","0","2","105","1.9","5.8","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/retro-vintage-1cm-hole-barrel-cage-design-rattan-style-lamp-light-shades-4219","Retro Vintage 1cm Hole Barrel Cage Design Rattan Style Lamp Light Shade","0","0","0","33","0.0","6.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/105mm-bracket-strap-brace-plate-with-accessories-ceiling-rose-light-fixing","105mm Bracket Strap Brace Plate With Accessories Ceiling Rose Light Fixing","0","0","0","30","0.0","4.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/linear-cage-pendant-light-fixture","Linear Cage Pendant Light Fixture","0","0","0","61","0.0","13.3","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/b22-t185-60w-dimmable-vintage-light-filament-bulb","B22 T185 60W Dimmable Vintage Light Filament Bulb","0","0","0","8","0.0","8.4","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/design-women-toe-post-flip-flop-beach-slipper-for-sea","Design Women Toe Post Flip Flop Beach Slipper For Sea","0","0","0","1645","0.0","6.6","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights","Industrial Ribbed Glass Wall Lights Replacement Lampshades For Wall Lights","0","0","1","769","0.13","17.0","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
"https://ledsone.co.uk/products/3-way-modern-black-ceiling-pendant-cluster-light-fitting-industrial-pendant-lampshade","3 Way Modern Black Ceiling Pendant Cluster Light Fitting Industrial Lampshade","0","0","1","1357","0.07","15.7","Optimize","Review title | Improve meta description | Improve H1 | Add internal links | Improve product content"
